p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
13888,notebooks,1307194,Acer SF314-56G синий,419990,Acer,8,5,intel core i5 8265u,66,1600,4,intel uhd graphics 620 + nvidia geforce mx250,49,8,,true,512,https://kaspi.kz/shop/p/acer-sf314-56g-sinii-1307194/?c=750000000
13926,notebooks,1307560,HP 15-db1094ur 7RZ97EA черный,273900,HP,10,0,amd ryzen 5 3500u,70,2100,4,amd radeon vega 8,40,4,DDR4,true,1128,https://kaspi.kz/shop/p/hp-15-db1094ur-7rz97ea-chernyi-1307560/?c=750000000
13932,notebooks,1306736,ASUS VivoBook S14 S410UN 90NB0GT2-M05830 серый,328900,ASUS,10,1,intel core i5 8250u,60,1600,4,nvidia geforce mx150 + intel uhd graphics 620,47,8,DDR4,false,1000,https://kaspi.kz/shop/p/asus-vivobook-s14-s410un-90nb0gt2-m05830-seryi-1306736/?c=750000000
13951,notebooks,100104247,Lenovo IdeaPad L340-15API 81LW008WRK черный,223695,Lenovo,0,0,amd ryzen 5 3500u,70,2100,4,amd radeon vega 8,40,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-l340-15api-81lw008wrk-chernyi-100104247/?c=750000000
13956,notebooks,100051411,ASUS VivoBook X403FA 90NB0LP2-M02050 серебристый,349900,ASUS,10,1,intel core i5 8265u,66,1600,4,intel uhd graphics 620,20,4,DDR3L,true,512,https://kaspi.kz/shop/p/asus-vivobook-x403fa-90nb0lp2-m02050-serebristyi-100051411/?c=750000000
13960,notebooks,100086368,Lenovo Ideapad S145 81W8000KRK серый,199900,Lenovo,10,1,intel core i3 1005g1,72,1200,2,intel uhd graphics,15,4,DDR4,false,1000,https://kaspi.kz/shop/p/lenovo-ideapad-s145-81w8000krk-seryi-100086368/?c=750000000
13964,notebooks,1306138,DELL Inspiron G5-5587 G515-7336 черный,399900,DELL,0,0,intel core i5 8300h,77,2300,4,nvidia geforce gtx 1050 ti + intel hd graphics 630,54,8,DDR4,true,1128,https://kaspi.kz/shop/p/dell-inspiron-g5-5587-g515-7336-chernyi-1306138/?c=750000000
13965,notebooks,1306709,DELL Inspiron G5-5587 G515-7305 черный,375900,DELL,0,0,intel core i5 8300h,77,2300,4,nvidia geforce gtx 1050 + intel hd graphics 630,54,8,DDR4,false,1000,https://kaspi.kz/shop/p/dell-inspiron-g5-5587-g515-7305-chernyi-1306709/?c=750000000
14009,notebooks,1306993,Lenovo V330-14KB 81B1000ERU серый,307160,Lenovo,0,0,amd ryzen 5 2500u,62,2000,4,amd radeon rx vega 8,40,8,DDR4,true,256,https://kaspi.kz/shop/p/lenovo-v330-14kb-81b1000eru-seryi-1306993/?c=750000000
14010,notebooks,100213467,ASUS ZenBook Flip 14 UX463FA-AI015T серый,499990,ASUS,0,0,intel core i7 10510u,78,1800,4,intel uhd graphics,15,8,LPDDR3,true,256,https://kaspi.kz/shop/p/asus-zenbook-flip-14-ux463fa-ai015t-seryi-100213467/?c=750000000
14013,notebooks,100062807,ASUS VivoBook S431FL 90NB0N65-M01060 зеленый-серый,357100,ASUS,10,1,intel core i5 8265u,66,1600,4,intel uhd graphics 620 + nvidia geforce mx250,49,8,DDR3L,true,512,https://kaspi.kz/shop/p/asus-vivobook-s431fl-90nb0n65-m01060-zelenyi-seryi-100062807/?c=750000000
14014,notebooks,100163493,HP Pavilion 15-bc524ur 7JU16EA черный,453900,HP,0,0,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650 + intel uhd graphics 630,68,6,DDR4,true,512,https://kaspi.kz/shop/p/hp-pavilion-15-bc524ur-7ju16ea-chernyi-100163493/?c=750000000
14015,notebooks,100185401,DELL Inspiron 5491-2121 серебристый,270600,DELL,0,0,intel core i3 10110u,71,2100,2,intel uhd graphics,15,4,DDR4,true,256,https://kaspi.kz/shop/p/dell-inspiron-5491-2121-serebristyi-100185401/?c=750000000
14018,notebooks,1307215,HP 15-db1095ur 7SF98EA черный,249900,HP,10,1,amd ryzen 5 3500u,70,2100,4,amd radeon vega 8,40,4,DDR4,true,1128,https://kaspi.kz/shop/p/hp-15-db1095ur-7sf98ea-chernyi-1307215/?c=750000000
14019,notebooks,1307266,HP 15-db1109ur 7SH53EA черный,249900,HP,0,0,amd ryzen 7 3700u,72,2300,4,amd radeon rx vega 10,42,4,DDR4,true,256,https://kaspi.kz/shop/p/hp-15-db1109ur-7sh53ea-chernyi-1307266/?c=750000000
14020,notebooks,1307505,DELL Inspiron 3584-5282 черный,199900,DELL,10,1,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,DDR4,false,1000,https://kaspi.kz/shop/p/dell-inspiron-3584-5282-chernyi-1307505/?c=750000000
14021,notebooks,100007601,ASUS VivoBook 14 X412FL-EB063T 90NB0M12-M00670 серый,369900,ASUS,10,7,core i5 8265u,66,1600,4,intel uhd graphics 620 + nvidia geforce mx250,49,8,DDR4,true,512,https://kaspi.kz/shop/p/asus-vivobook-14-x412fl-eb063t-90nb0m12-m00670-seryi-100007601/?c=750000000
14025,notebooks,100213450,HP Pavilion 15-bc532ur 7NG09EA черный,320506,HP,0,0,intel core i5 9300h,68,2400,4,nvidia geforce gtx 1650,68,8,DDR4,false,1000,https://kaspi.kz/shop/p/hp-pavilion-15-bc532ur-7ng09ea-chernyi-100213450/?c=750000000
14035,notebooks,1306296,ASUS ZenBOOK UX331UA 90NB0GZ1-M04880 синий,339900,ASUS,0,0,intel core i3 8130u,59,2200,2,intel hd graphics 620,20,4,DDR3,true,128,https://kaspi.kz/shop/p/asus-zenbook-ux331ua-90nb0gz1-m04880-sinii-1306296/?c=750000000
14037,notebooks,1306868,DELL Inspiron 3583 3583-3991 черный,279900,DELL,0,0,core i5 8265u,66,1600,4,intel uhd graphics 620 + md radeon 520,37,4,DDR4,false,1000,https://kaspi.kz/shop/p/dell-inspiron-3583-3583-3991-chernyi-1306868/?c=750000000
14039,notebooks,1306933,HP Probook 440 G6 5PQ10EA серебристый,302990,HP,0,0,intel core i5 8265u,66,1600,4,intel uhd graphics 620,20,8,DDR4,true,256,https://kaspi.kz/shop/p/hp-probook-440-g6-5pq10ea-serebristyi-1306933/?c=750000000
14040,notebooks,1307392,HP Europe ProBook 450 G6 5TL53EA серебристый,293990,HP,0,0,core i5 8265u,66,1600,4,intel uhd graphics 620,20,8,DDR4,false,1000,https://kaspi.kz/shop/p/hp-europe-probook-450-g6-5tl53ea-serebristyi-1307392/?c=750000000
14044,notebooks,1307411,HP Europe ProBook 450 G6 5PP69EA серый,404661,HP,0,0,core i5 8265u,66,1600,4,intel uhd graphics 620,20,8,DDR4,true,1128,https://kaspi.kz/shop/p/hp-europe-probook-450-g6-5pp69ea-seryi-1307411/?c=750000000
14045,notebooks,1307414,DELL Vostro 3481 черный,197317,DELL,0,0,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,DDR3,false,1000,https://kaspi.kz/shop/p/dell-vostro-3481-chernyi-1307414/?c=750000000
14046,notebooks,100130009,Lenovo S340-14IIL 81VV00E0RK черный,332490,Lenovo,0,0,intel core i5 1035g1,78,1000,4,intel uhd graphics,15,8,DDR4,true,256,https://kaspi.kz/shop/p/lenovo-s340-14iil-81vv00e0rk-chernyi-100130009/?c=750000000
14051,notebooks,100170482,DELL INSPIRON 5490 серебристый,312268,DELL,0,0,intel core i3 10110u,71,1700,,intel uhd graphics,15,4,DDR3L,true,256,https://kaspi.kz/shop/p/dell-inspiron-5490-serebristyi-100170482/?c=750000000
14054,notebooks,100071016,HP Europe 240 G7 6BQ02EA черный,261409,HP,0,0,intel core i3 7020u,59,2300,2,intel hd graphics 620,20,4,DDR4,false,1000,https://kaspi.kz/shop/p/hp-europe-240-g7-6bq02ea-chernyi-100071016/?c=750000000
14055,notebooks,100106610,DELL Vostro 3490 черный,458643,DELL,0,0,intel core i5 10210u,76,1600,4,intel uhd graphics 620,20,8,DDR4,true,256,https://kaspi.kz/shop/p/dell-vostro-3490-chernyi-100106610/?c=750000000
